longitude,latitude
55.8667,15.75
63.765,14.8833
59.55,3.9333
59.2833,2.6833
48.8167,13.15
59.3933,15.4833
65.2167,19.5833
59.8167,15.8
64.0,20.0
63.29,21.1733
63.35,21.0667
62.75,21.1333
55.6583,15.8
57.2833,17.7
42.4833,14.5167
67.405,14.0117
59.7333,16.75
58.3,15.1833
45.4167,12.1167
104.5583,1.3018
56.75,13.8333
56.5,13.8833
61.35,17.1833
64.0,22.0
44.8017,12.695
61.0833,12.5
116.7932,-1.25
61.55,17.0333
61.7,13.2833
64.3667,18.6
58.9033,19.4133
51.1833,3.1667
64.4833,20.2667
65.1,13.4667
59.2333,14.9333
49.2433,13.1533
63.9667,20.15
59.6333,15.1833
65.0,12.6167
103.7333,1.0833
63.8333,11.2333
103.55,4.75
73.0333,9.4167
106.875,-6.0887
63.5567,11.2917
60.3833,25.0333
66.3333,4.3333
69.4,6.7333
56.2667,11.2167
54.5967,15.2767
63.5,13.05
63.6,20.2667
71.99,10.0017
65.5833,12.1167
64.15,13.1
63.3,21.45
104.3417,1.3467
43.1083,13.16
103.5833,1.1667
64.2682,20.2572
52.035,12.0
115.3,5.4167
69.6517,20.8867
103.5367,1.135
115.841,5.9887
91.7667,22.2333
76.25,9.9667
61.0333,18.0
50.75,-11.55
44.1,12.3167
114.4267,-3.7367
91.7333,22.2667
91.7932,22.2167
56.5833,1.8167
48.4136,4.9115
58.7667,14.7
58.4,15.3333
61.5667,11.5667
58.835,14.9867
58.65,14.7667
107.2117,20.7167
60.1333,20.4833
58.4167,18.8
55.6167,16.7333
46.1167,-2.4
64.9733,12.1967
58.9167,11.9667
62.4333,9.9917
52.0717,15.3867
57.5317,17.52
63.7833,18.5833
48.7217,-4.795
64.7,11.05
61.6167,17.5667
59.2017,20.6367
62.7667,16.05
66.2383,12.03
51.8367,7.4067
107.2233,20.6967
104.2883,1.3283
48.8167,-7.55
104.2583,1.3217
106.8833,-6.0
65.3333,13.65
65.3333,13.65
66.55,10.9167
91.75,22.25
105.3717,3.0083
66.7,12.4
70.0368,22.8197
58.05,11.9333
59.4167,14.35
98.7733,3.945
60.4333,16.25
103.5833,1.0833
42.925,-3.9
101.45,1.6767
105.2867,2.9183
53.55,3.7833
105.1233,1.585
63.3057,17.2253
104.415,2.7537
49.1,13.1667
66.4575,9.001
63.7333,22.9667
63.6667,22.4333
65.1,11.65
104.85,2.05
105.385,3.1883
42.9667,-11.1333
76.0983,9.9417
55.8617,15.9217
57.0667,15.6
47.5038,13.502
106.0,2.0667
65.75,19.2833
51.7167,14.0833
52.9883,15.365
117.25,-1.1167
105.0667,1.25
40.3333,-5.5833
101.3695,1.7537
59.8683,16.01
57.45,18.4167
45.1333,12.0333
43.6333,12.5167
49.9333,13.6667
42.6,14.3667
101.4967,1.6933
54.0833,11.9
55.6833,-3.7833
101.4527,1.7055
59.9167,12.9667
59.0933,13.2783
42.85,14.0333
51.606,15.1838
76.25,9.9667
48.6667,-2.85
60.4,12.2167
47.7167,-4.1633
45.7167,-6.9333
105.2667,3.1333
105.2833,2.95
105.295,2.8983
41.4167,-10.7333
104.1,1.3333
41.3333,-7.0
49.3133,13.1817
66.9,13.8333
101.4333,1.7167
67.8,14.8333
56.2167,14.7167
55.7833,16.2333
59.3383,12.15
58.0,17.5667
58.1133,25.2967
59.5333,18.7
103.8689,1.2294
48.6167,13.1783
60.3167,19.2167
58.9367,13.9117
69.8833,8.5333
117.2833,-1.1667
98.6767,3.7767
55.4167,14.15
104.9883,1.2383
61.1833,24.1833
40.7433,-9.41
41.9333,-8.9833
51.3667,6.8333
106.9,-6.0167
43.0167,13.25
57.5167,25.4833
61.75,15.7667
106.895,-6.025
112.6667,-7.1167
42.2167,14.5167
117.2667,-1.1667
107.2333,20.6833
43.4333,12.55
106.9165,0.4765
48.9733,13.2117
43.32,12.62
76.0817,9.9233
103.9333,1.1833
117.2667,-1.1667
96.25,16.6333
109.0609,-0.021
42.0667,14.4
104.875,1.35
42.5833,13.5
42.6167,13.5833
103.8333,1.1667
106.875,-6.0887
42.3167,14.1667
50.4567,13.555
42.6167,13.4833
61.49,12.3
42.7167,13.4833
61.45,12.2833
42.5967,13.7017
42.6233,13.5817
32.5432,29.9667
61.7667,12.55
51.25,9.3
42.9467,13.73
76.6667,8.4833
76.4333,8.6167
112.725,-7.1917
60.2,21.05
60.4833,21.6833
42.9833,13.2833
107.0683,20.9193
104.2133,1.2767
104.5367,1.5267
106.8833,-6.0983
44.7333,12.4833
106.8933,20.6533
43.3,12.7333
32.52,29.8217
50.2883,13.605
51.4167,13.8
117.5945,-0.2243
42.3183,14.6017
113.6333,22.75
98.7633,3.9317
42.6933,13.4317
42.5983,13.4933
42.8433,13.4167
42.6,13.4833
48.5,12.9333
42.7033,13.5283
48.3667,13.0067
42.9567,13.6883
91.7718,22.0627
39.6433,-4.0617
91.7217,22.1767
43.0817,13.12
109.2587,2.1927
99.8333,4.4167
101.4933,1.7083
103.4597,1.2513
48.6933,13.1467
43.0667,13.1467
106.9165,0.4765
42.9167,15.15
101.4783,1.7045
42.3983,14.57
43.425,12.5917
43.0183,13.28
48.0,13.0667
54.05,16.9
98.7017,3.7883
53.6,16.15
49.1833,13.1333
42.365,14.6067
116.81,-1.46
43.8728,12.5042
103.5958,1.1242
52.2333,15.45
101.45,1.6767
103.5107,1.0638
42.85,14.0667
91.8198,22.2692
41.0783,-3.91
44.5833,-4.7833
82.4,17.05
46.3083,-12.7767
43.325,-12.2683
43.6367,12.43
42.8167,14.15
42.8167,14.0417
43.9833,14.1
41.8707,14.0697
63.0833,11.68
107.0673,10.2258
56.39,3.835
62.7933,16.1055
48.8167,13.0167
58.0,4.9833
40.2333,-7.8167
42.2633,-6.0583
61.8083,12.5233
103.6383,1.0467
107.2233,10.1517
42.58,-11.4383
64.4717,22.0483
50.5333,0.65
50.2167,0.9
40.0623,-5.0225
52.8167,14.4333
40.13,-6.4433
118.1173,5.8188
58.5383,-1.1917
54.4833,4.9833
119.7467,6.9983
104.0333,1.2583
105.3,1.5
101.4883,1.7033
104.5667,1.4
59.65,2.15
43.7117,-4.3217
46.1,-8.1667
45.55,12.0
57.5667,17.4
51.1667,-6.1667
47.2333,-3.9333
116.9348,-1.3743
118.0792,5.8008
55.08,15.8183
91.7033,22.205
98.7917,3.9367
107.07,10.2167
43.7833,12.45
91.75,22.2
42.9167,-4.05
56.65,15.0333
44.05,12.3
101.4733,1.7
60.0,20.65
116.6292,-1.7027
114.4317,-3.695
101.4833,1.7
103.35,1.2175
47.05,12.6
112.6628,-7.0833
103.65,1.1667
101.4767,1.7067
91.75,22.1667
57.6,18.3
103.8689,1.2294
101.45,1.6767
114.45,-3.7333
49.17,12.1558
44.1833,12.2333
49.2,13.1667
44.1967,12.2433
60.9833,22.45
106.8833,-6.0167
106.75,10.2433
116.8,-1.2883
56.5333,14.8617
46.0,1.6167
116.8,-1.6833
104.7015,1.4047
49.1362,14.0222
58.2833,15.0667
55.7333,13.5333
57.4567,24.89
91.7017,22.205
91.7367,22.2333
101.4567,1.705
39.3333,-6.6833
101.4333,1.7
43.0442,13.1967
70.2203,23.0243
106.8833,20.64
58.2333,4.9167
118.0833,5.8
116.6383,1.73
103.5,1.0833
104.1667,1.1167
99.4588,3.3873
66.1333,-5.05
43.2983,12.8117
43.3167,12.7333
43.2833,12.7167
103.4783,1.1033
62.4333,16.0
59.9833,-4.3
61.5467,18.7417
112.6633,7.1083
107.2333,20.6667
103.575,1.2133
59.5253,20.4917
76.0533,9.95
55.3733,16.871
43.3333,12.5833
64.0333,-5.4833
50.3667,13.55
99.45,3.3833
59.39,20.3267
56.7017,26.1483
104.2933,1.2667
43.6833,12.4833
58.9817,16.065
54.9333,15.0167
91.6167,21.7333
104.038,1.2372
62.6167,21.45
49.1667,12.9333
82.4192,17.048
52.5667,14.3333
101.485,1.7067
43.4467,12.5417
57.9333,13.15
106.8833,-6.0167
48.8667,13.15
116.7833,-1.3
53.3833,5.6667
91.7667,22.1667
91.7333,22.25
63.53,22.625
62.45,20.8167
101.4333,1.7167
56.82,14.3083
104.4667,1.835
69.75,7.0
49.3,-5.35
50.2233,6.3083
59.4167,16.5333
76.53,8.51
34.8283,-19.8
101.4583,1.7033
101.4383,1.7183
59.9833,21.6167
101.4583,1.7033
57.5333,25.4667
101.4473,1.7057
117.1917,-1.185
98.77,3.9117
61.8317,12.2183
41.0033,-11.3133
65.9833,16.9
52.845,14.2917
104.6167,1.5833
104.3367,1.2867
117.2517,-1.1767
52.2,15.3333
42.03,14.97
105.5917,1.24
44.65,11.9333
56.4967,8.295
104.8833,1.223
60.0667,10.6667
58.45,14.3
61.0333,15.9667
114.45,-3.7
117.2317,-1.185
104.1405,1.243
42.8667,13.8667
32.5267,29.835
32.55,29.8167
103.6833,1.1667
90.6963,22.8329
57.5767,25.3483
114.4467,-3.7117
43.3,12.75
99.0667,4.8333
112.6582,-7.1522
57.28,25.4933
39.645,-4.0483
98.7927,3.9573
43.265,12.8267
42.9483,13.3367
82.3,17.0
110.4738,1.6373
43.95,12.3167
59.5033,20.8467
59.05,20.4833
57.2733,25.25
91.71,22.175
54.6377,14.3765
106.75,10.6933
39.2765,-6.8265
83.3883,17.6583
103.885,1.441
101.462,1.7178
113.9167,4.4
34.8333,-19.8167
103.4667,1.1
42.65,13.5667
116.9363,7.0048
112.7262,-7.1975
101.465,1.7133
106.8932,-6.005
91.7417,22.1517
91.7,21.8667
103.7,1.0667
104.175,1.1067
103.6533,0.9508
117.5983,-0.2567
103.9,1.05
101.465,1.7133
117.5967,-0.2225
98.7767,3.9167
104.1432,1.1063
88.0167,21.6667
104.61,-5.5817
103.5802,1.2303
98.7667,3.9
103.4657,1.2473
106.8867,-6.0338
91.7667,22.1667
103.59,1.1183
104.235,1.2683
98.7817,3.9183
117.55,-0.2317
32.55,29.8167
91.7217,22.2317
50.65,0.4333
104.3067,1.3467
91.7433,22.2517
104.17,1.1117
117.5933,-0.26
105.1783,0.8817
109.6517,2.0765
104.8,1.3
103.42,1.139
98.7817,3.9183
98.7017,3.7967
98.7733,3.8983
98.7833,3.9333
114.465,-3.6917
116.635,-1.6967
106.91,-6.0067
106.1903,1.743
104.2967,1.3217
98.8067,3.9317
112.658,-7.091
109.0897,3.2837
106.9167,-6.0167
116.634,-1.7153
116.7883,-1.46
82.4167,17.0333
98.7633,3.9317
117.6667,-0.3087
106.9,-6.025
104.5675,1.4373
76.05,10.0
116.9833,-1.3833
98.7007,3.7837
98.7917,3.9183
114.44,-3.73
104.0059,1.2932
57.5383,24.6
59.1333,24.1667
49.1543,11.3
98.7817,3.95
57.9133,24.7817
114.4617,-3.7183
114.4267,-3.7383
70.05,22.8167
116.8167,-1.2667
51.8517,3.12
103.63,1.1917
116.7783,-1.185
91.7225,22.2842
116.94,-1.3667
101.4867,1.705
108.7557,2.1388
82.4133,17.025
88.1683,20.9433
98.81,3.9267
107.0167,10.5667
116.61,-1.6967
116.7957,-1.2848
101.4545,1.706
103.6033,1.1067
106.8637,20.6208
76.1333,9.9
91.7,22.25
91.7667,22.185
106.315,0.1483
101.45,1.705
52.2867,7.24
112.6667,-7.15
116.9417,-1.3883
104.5833,-5.5667
101.4852,1.7032
114.4425,-3.556
49.8617,14.29
98.7467,3.94
116.6517,-1.67
50.8,13.65
112.6567,-7.0883
91.7333,22.25
101.4667,1.7
39.2967,-6.8417
106.9,-5.9833
101.45,1.7
114.4343,-3.0742
98.7833,3.9333
51.3,11.8667
117.25,-1.1333
117.2667,-1.1833
91.7333,22.2667
44.025,0.8783
101.4167,1.7
116.65,-1.7167
101.49,1.7017
83.4,17.65
98.735,3.9483
107.0167,10.5667
112.6583,-7.0933
107.3432,21.0167
101.5,1.6833
104.7833,1.3167
104.8333,1.2833
105.3833,1.6
98.6767,3.7767
104.0333,1.2333
98.7,3.7833
99.2682,4.9173
114.45,-3.6833
103.8,3.2833
44.3333,12.2
33.55,29.8333
91.8,22.2667
105.95,-5.9833
34.8265,-19.8265
98.7822,3.9245
117.265,-1.1783
49.25,11.6
98.7767,3.9117
103.9833,4.5
114.475,-3.705
104.127,1.26
117.2333,-1.0833
117.2217,-1.205
103.6,1.1
114.4167,-3.6833
91.7833,22.15
106.9028,-6.037
113.8667,4.5167
117.2,-1.1833
103.64,1.155
106.8983,-6.02
70.2333,22.9667
103.8689,1.2294
114.4217,-3.68
103.6167,1.1167
43.1,13.1667
104.3,3.0333
103.6183,1.11
104.9667,3.2167
43.0167,13.4667
104.8667,1.1167
106.7588,10.684
104.6167,1.2667
70.05,22.8
104.6833,1.3
93.2333,22.15
32.5432,29.9667
112.65,7.0833
104.1817,1.105
103.6333,1.1
104.5,1.3833
91.6667,22.1833
117.605,0.2667
91.7,22.1667
117.6017,1.26
117.6083,0.2817
98.6767,3.7767
91.7,22.1833
107.3167,20.9333
107.0333,10.2167
103.574,1.153
112.67,7.165
117.695,0.2733
106.8833,6.0167
103.6,1.2
104.0833,4.8667
103.6167,1.1167
117.15,0.5265
98.75,3.9667
104.052,1.1245
117.5333,0.1
103.6,1.1
103.5833,1.1333
103.4267,0.9767
103.4667,1.0833
117.6883,0.255
104.8,2.2667
52.3167,4.65
106.8917,6.015
104.05,1.2333
38.8333,19.8167
117.55,0.2333
104.575,1.4167
88.4367,17.6017
104.7,1.3667
101.44,1.7133
98.7667,3.7833
70.105,22.83
112.65,7.0833
103.9167,3.6667
98.75,3.9333
91.6367,21.7483
70.0833,22.8167
104.405,1.3533
88.0167,21.6667
98.7667,3.9
46.9833,-5.6667
103.3,1.3333
116.6333,-1.7167
107.0185,10.6545
48.6117,-7.33
114.4333,-3.6667
104.7,1.3833
98.7667,3.9
70.9167,22.65
69.8833,22.6333
101.45,1.6767
98.7507,3.9195
106.9167,-5.9833
101.4833,1.7
39.6667,-4.0667
103.6333,1.1
104.7,1.4167
103.6,1.1
103.5833,1.1
107.0833,20.5833
70.0833,22.7833
114.4167,-3.7167
103.5833,1.1167
47.8167,12.8333
47.8733,12.875
104.6917,1.42
103.6167,1.1
117.5667,-0.1
117.5883,-0.26
104.1167,1.25
98.71,3.7917
98.7983,3.9133
104.2667,1.3167
98.7833,3.9
117.6692,-0.2917
98.7833,3.95
98.7667,3.9167
112.65,-7.0833
114.4432,-3.7
106.8908,-6.104
39.2833,-6.8167
54.3833,15.1
104.2667,1.1
104.05,1.2333
106.8833,-6.0333
76.15,9.9333
101.4267,1.71
91.75,22.25
104.5667,1.4167
103.6,1.05
98.6833,3.7833
43.5333,12.4
104.6917,1.355
83.4,17.6167
44.5667,1.1167
106.9267,-5.9983
91.6167,21.0
103.5667,1.1833
91.72,22.2633
91.7333,22.2333
103.5,1.15
103.4333,1.1833
53.3167,14.3333
103.4833,1.1333
105.9167,-5.9833
42.8667,13.3
56.6967,26.4067
104.695,1.41
103.5667,1.1
107.1167,20.8667
104.7167,1.4
104.6333,1.4167
43.4333,12.5917
98.7667,3.9
55.5383,13.9817
43.7167,12.4167
43.7,12.4
104.4233,1.9966
117.5833,-0.2167
76.1417,9.8883
98.7667,3.9167
104.6333,1.4333
104.58,1.4066
100.9,2.9833
91.6667,21.85
104.6867,1.4033
91.6933,22.135
104.585,1.4
104.7908,1.4897
104.6867,1.4067
103.5,1.1667
104.0833,1.2333
104.5867,1.4533
91.7667,22.1333
104.6667,1.4783
91.765,22.2233
104.5333,1.5933
103.4767,1.08
98.7817,3.9267
106.9,-6.0167
104.5167,1.85
104.6167,1.4667
104.8333,1.5
103.5,1.1333
104.45,1.5667
91.7833,21.7167
103.5,1.1333
104.3833,1.3333
112.4333,4.05
106.9,-6.0
104.35,1.2667
104.4317,1.67
111.95,3.95
91.6667,22.4833
83.4,17.6167
108.6217,2.1058
104.6333,2.075
98.7667,3.95
104.575,1.42
103.8667,1.1833
104.6667,1.4
116.7933,-1.2933
104.525,1.5083
106.904,-5.9912
104.7383,1.4217
103.5,1.1167
104.6667,1.4667
105.1333,3.3833
118.48,7.0015
70.0167,22.8
70.05,22.7833
108.4667,1.9833
104.6,1.4333
104.6417,1.4533
104.4833,2.0167
105.1167,1.7333
104.7167,1.4833
91.7667,22.1667
98.7517,3.9183
117.5783,-0.2567
104.2577,1.3257
91.8267,22.2383333
100.0833,5.4017
104.6333,-5.5667
117.6833,-0.2833
104.2667,1.3167
98.7667,3.9
43.2367,12.8767
104.7667,1.55
117.6667,-0.2333
103.5667,1.1667
104.6167,1.4333
91.7167,22.25
106.8833,-6.0833
103.8833,1.2167
106.8833,-6.0167
104.7333,1.4667
104.0667,3.4
70.0167,22.7333
83.3833,17.6667
70.0333,22.7333
70.0,22.75
107.0517,10.2483
104.8333,1.4333
91.7932,22.2166667
98.2,7.1667
98.0,7.2
104.5667,1.4
104.6757,1.4053
56.75,26.25
104.591,1.4035
91.8,21.85
105.4495,3.2176667
104.5667,-5.5833
91.7667,21.7833
112.8928,-5.192
106.75,10.6933
114.4167,-3.7
104.6167,1.4667
106.7667,-5.95
91.7833,21.7667
104.4833,1.4333
105.3,-5.5
103.4667,1.1333
103.5333,1.1667
103.4833,1.1333
91.7833,21.7833
107.1,10.15
104.5167,1.8
104.5833,1.4167
103.5333,1.1
91.7167,22.25
104.5833,1.4
103.55,4.75
103.6,1.08
103.5667,1.2167
117.6,-1.0167
104.6333,1.4667
104.2,1.0667
103.4667,1.0167
104.9167,1.6333
117.5833,-1.2333
103.5,1.1333
107.2333,10.2
104.85,1.4833
107.15,10.25
103.5,1.1167
104.6833,1.4
103.4833,1.1167
91.8,22.1167
76.2543,9.9733
88.1167,20.9167
104.65,1.4333
104.6667,1.4833
104.8217,2.2525
104.5833,1.5167
34.83,-19.8
91.725,22.19
104.6667,1.39
104.1417,1.3167
107.2,20.6833
103.6333,1.0333
104.1667,1.1166667
42.0,15.1
104.16666666666993,1.1166666666667
103.61666666666667,1.1833333333333331
104.16666666666674,1.08
103.9,1.035
103.51666666667006,1.1166666666667
103.53333333333,1.1
106.89744059245118,-5.904670614776062
107.03333333333,10.168611111111
103.64999999999998,1.0333333333333
104.2,1.3280555555555555
106.91666666666993,-6.0166666666667
98.766666666667,3.9166666666667
103.45000000000005,1.1511111111111
107.04999999999995,10.2
106.73999812338091,20.855184554923746
114.46666666667,-3.6833333333333
107.20000000000005,20.683333333333
100.71666666667,3.1833333333333
98.69333333333338,3.788333333333333
106.85000000000002,20.6025
104.65333333333334,2.135
103.43388888888887,1.1672222222222222
103.46666666666668,1.1333333333333333
103.60000000000002,1.0677777777778
107.28333333333332,20.68555555555556
103.56666666666666,1.0666666666666669
119.83333333333331,6.219722222222222
105.83333333333007,1.7175
107.03333333333,10.250833333333
83.41666666666697,17.633333333333
104.26666666667006,1.2666666666667
119.21666666667,6.0
101.48333333332994,1.7002777777778
98.75,3.9333333333333
91.733333333333,22.1
103.96666666667,1.2166666666667
103.56666666667002,1.1166666666667
104.5,2.835
107.18333333333334,20.716666666666665
100.56009525458352,13.707035818753493
103.58333333333007,1.0875
103.43333333332998,1.1666666666667
82.29999999999995,16.983333333333
104.64999999999998,1.45
103.51666666666668,1.1
107.53333333333332,2.15
103.65,1.05
118.08333333333007,5.8
107.0,10.2675
104.61666666666666,1.4166666666666667
103.66666666666674,1.05
103.75,1.1180555555556
104.29999999999995,3.6175
103.66666666666669,1.0666666666666669
104.43944444444443,2.478055555555556
104.03333333333,1.2511111111111
104.18333333332998,1.2902777777778
91.78333333333332,22.116666666666667
91.75,22.1
91.71666666666668,22.183333333333334
104.39999999999998,1.3333333333333333
104.11666666666666,1.25
104.11666666666667,1.2333333333333334
101.4,1.7166666666666668
101.93583333333004,2.2333333333333
98.7,3.783333333333333
103.71666666667,1.0833333333333
103.61666666666666,1.0516666666666667
91.70000000000005,21.800277777778
104.02333333333333,1.2944444444444445
103.65,1.0333333333333334
103.83333333333331,1.1666666666666667
103.66645128038522,1.066913737438387
101.46666666666668,1.7
107.0666666666666,10.221944444444444
70.22313952446007,23.029611919857
110.58333333333331,3.583333333333333
104.04472222222,1.2569444444444
91.70000000000005,21.766666666667
108.85000000000002,8.3175
91.71666666666692,22.2
103.60000000000002,1.0833333333333333
99.89999999999998,4.1333333333333
101.48333333333332,1.7166666666666668
106.89999999999998,-6.033333333333333
107.04999999999995,10.183333333333
103.70000000000005,1.0666666666667
103.65,1.0347222222222223
70.22306442260742,23.02966128873708
